Reporting Date,Equity,Debt,Hybrid
25-06-2019,56.67,-205.76,1.94
24-06-2019,-1001.83,562.29,-0.05
21-06-2019,-179.24,679.06,2.77
20-06-2019,-22.58,804.04,-1.45
19-06-2019,66.12,-181.29,-1.83
18-06-2019,-322.78,-207.54,1.41
17-06-2019,-183.79,-741.78,0.45
14-06-2019,8.41,36.35,-1.35
13-06-2019,-643.57,-11.86,1.01
12-06-2019,301.72,431.77,1.97
11-06-2019,320.43,1785.68,-0.16
10-06-2019,-384.88,2193.27,-2.04
07-06-2019,-1565.88,975.03,-0.55
06-06-2019,136.0,1562.17,-0.3
04-06-2019,2351.08,723.04,-0.21
